Origen;Destino;Ayuda AIRE (tn);Ayuda TIERRA (tn);Ayuda MAR (tn);Ayuda Total (tn)
SAN_PABLO;SAN_PABLO;0,0;0,0;0,0;0,0
SAN_PABLO;PANAMA;0,0;0,0;0,0;0,0
SAN_PABLO;BOGOTA;0,0;0,0;0,0;0,0
SAN_PABLO;NUEVA_YORK;0,0;0,0;0,0;0,0
SAN_PABLO;MIAMI;0,0;0,0;0,0;0,0
SAN_PABLO;AMSTERDAM;0,0;0,0;0,0;0,0
SAN_PABLO;LONDRES;0,0;0,0;0,0;0,0
SAN_PABLO;ROMA;0,0;0,0;0,0;0,0
SAN_PABLO;ESTAMBUL;0,0;0,0;0,0;0,0
SAN_PABLO;HAIFA;0,0;0,0;0,0;0,0
SAN_PABLO;TOKIO;0,0;0,0;0,0;0,0
SAN_PABLO;TAIPEI;0,0;0,0;0,0;0,0
PANAMA;SAN_PABLO;0,0;0,0;0,0;0,0
PANAMA;PANAMA;0,0;0,0;0,0;0,0
PANAMA;BOGOTA;0,0;0,0;0,0;0,0
PANAMA;NUEVA_YORK;0,0;0,0;0,0;0,0
PANAMA;MIAMI;0,0;0,0;0,0;0,0
PANAMA;AMSTERDAM;0,0;0,0;0,0;0,0
PANAMA;LONDRES;0,0;0,0;0,0;0,0
PANAMA;ROMA;0,0;0,0;0,0;0,0
PANAMA;ESTAMBUL;0,0;0,0;0,0;0,0
PANAMA;HAIFA;0,0;0,0;0,0;0,0
PANAMA;TOKIO;0,0;0,0;0,0;0,0
PANAMA;TAIPEI;0,0;0,0;0,0;0,0
BOGOTA;SAN_PABLO;0,0;0,0;0,0;0,0
BOGOTA;PANAMA;0,0;0,0;0,0;0,0
BOGOTA;BOGOTA;0,0;0,0;0,0;0,0
BOGOTA;NUEVA_YORK;0,0;0,0;0,0;0,0
BOGOTA;MIAMI;0,0;0,0;65,0;65,0
BOGOTA;AMSTERDAM;0,0;0,0;0,0;0,0
BOGOTA;LONDRES;0,0;0,0;0,0;0,0
BOGOTA;ROMA;0,0;0,0;0,0;0,0
BOGOTA;ESTAMBUL;0,0;0,0;0,0;0,0
BOGOTA;HAIFA;0,0;0,0;0,0;0,0
